"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"NLD","Netherlands","TNBN","Total number of nurses","TOT","Total","2017","2017",187345,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2000","2000",9890,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2001","2001",10187,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2002","2002",10579,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2003","2003",10923,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2004","2004",11268,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2005","2005",11555,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2006","2006",11889,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2007","2007",12317,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2008","2008",12745,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2009","2009",13174,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2010","2010",13621,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2011","2011",14039,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2012","2012",14272,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2013","2013",14563,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2014","2014",14786,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2015","2015",15210,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2016","2016",15764,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2017","2017",16368,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2018","2018",17025,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2002","2002",33027,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2003","2003",50693,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2004","2004",51583,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2005","2005",51189,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2006","2006",48240,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2007","2007",45774,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2008","2008",39247,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2009","2009",40264,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2010","2010",42334,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2011","2011",44384,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2012","2012",44190,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2013","2013",44714,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2014","2014",45572,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2015","2015",47120,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2016","2016",48256,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2017","2017",48743,,
"NZL","New Zealand","TNBN","Total number of nurses","TOT","Total","2018","2018",50057,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2009","2009",19513,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2010","2010",20061,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2011","2011",20681,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2012","2012",21185,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2013","2013",21821,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2014","2014",22692,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2015","2015",22784,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2016","2016",23547,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2017","2017",24500,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2018","2018",25432,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2019","2019",26149,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2009","2009",79388,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2010","2010",81405,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2011","2011",83851,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2012","2012",85618,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2013","2013",87390,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2014","2014",89558,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2015","2015",92790,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2016","2016",94397,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2017","2017",96076,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2018","2018",97107,,
"NOR","Norway","TNBN","Total number of nurses","TOT","Total","2019","2019",98606,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2006","2006",119446,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2007","2007",118880,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2008","2008",119604,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2009","2009",120288,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2010","2010",121597,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2011","2011",123281,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2012","2012",125073,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2013","2013",127183,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2014","2014",129031,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2015","2015",131059,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2016","2016",133283,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2017","2017",135468,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2018","2018",138036,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2008","2008",268015,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2009","2009",271224,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2010","2010",274181,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2011","2011",275652,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2012","2012",278496,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2015","2015",285390,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2016","2016",288395,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2017","2017",291790,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2018","2018",295437,,
"POL","Poland","TNBN","Total number of nurses","TOT","Total","2019","2019",299619,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2002","2002",41902,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2003","2003",43978,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2004","2004",45906,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2005","2005",48296,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2006","2006",51095,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2007","2007",54220,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2008","2008",56859,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2009","2009",59745,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2010","2010",62566,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2011","2011",64535,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2012","2012",65467,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2013","2013",65868,,
"PRT","Portugal","TNBN","Total number of nurses","TOT","Total","2014","2014",66473,,
"SVK","Slovak Republic","TNBD","Total number of doctors","TOT","Total","2010","2010",16575,,
"SVK","Slovak Republic","TNBD","Total number of doctors","TOT","Total","2011","2011",16899,,
"ESP","Spain","TNBD","Total number of doctors","TOT","Total","2011","2011",207042,,
"ESP","Spain","TNBN","Total number of nurses","TOT","Total","2011","2011",250277,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2000","2000",27501,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2001","2001",28481,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2002","2002",29469,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2003","2003",30316,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2004","2004",31022,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2005","2005",31841,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2006","2006",32833,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2007","2007",33801,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2008","2008",34604,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2009","2009",35550,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2010","2010",36524,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2011","2011",37499,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2012","2012",38541,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2013","2013",39638,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2014","2014",40637,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2015","2015",40899,"B","Break"
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2016","2016",41993,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2017","2017",42898,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2000","2000",88077,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2001","2001",89548,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2002","2002",91716,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2003","2003",93133,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2004","2004",94730,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2005","2005",96878,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2006","2006",98792,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2007","2007",100521,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2008","2008",101620,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2009","2009",102434,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2010","2010",103978,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2011","2011",105009,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2012","2012",106066,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2013","2013",107140,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2014","2014",107988,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2015","2015",107206,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2016","2016",108249,,
"SWE","Sweden","TNBN","Total number of nurses","TOT","Total","2017","2017",109463,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2008","2008",29653,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2009","2009",30166,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2010","2010",30273,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2011","2011",30849,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2012","2012",31858,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2013","2013",33242,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2014","2014",34348,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2015","2015",35325,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2016","2016",36175,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2017","2017",36900,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2018","2018",37525,,
"CHE","Switzerland","TNBN","Total number of nurses","TOT","Total","2010","2010",58508,"D","Difference in methodology"
"CHE","Switzerland","TNBN","Total number of nurses","TOT","Total","2011","2011",60674,"D","Difference in methodology"
"CHE","Switzerland","TNBN","Total number of nurses","TOT","Total","2012","2012",62103,"D","Difference in methodology"
"CHE","Switzerland","TNBN","Total number of nurses","TOT","Total","2013","2013",64620,"D","Difference in methodology"
"CHE","Switzerland","TNBN","Total number of nurses","TOT","Total","2014","2014",66445,"D","Difference in methodology"
"CHE","Switzerland","TNBN","Total number of nurses","TOT","Total","2015","2015",68785,"D","Difference in methodology"
"CHE","Switzerland","TNBN","Total number of nurses","TOT","Total","2016","2016",70866,"D","Difference in methodology"
"CHE","Switzerland","TNBN","Total number of nurses","TOT","Total","2017","2017",71005,"D","Difference in methodology"
"CHE","Switzerland","TNBN","Total number of nurses","TOT","Total","2018","2018",72521,"D","Difference in methodology"
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2000","2000",85242,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2001","2001",89804,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2002","2002",91949,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2003","2003",94466,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2004","2004",97110,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2005","2005",100853,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2006","2006",104475,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2007","2007",108402,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2008","2008",113151,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2009","2009",118641,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2010","2010",123447,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2011","2011",126029,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2012","2012",129772,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2013","2013",133775,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2014","2014",135616,,
"TUR","Turkey","TNBD","Total number of doctors","TOT","Total","2015","2015",141259,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2000","2000",69550,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2001","2001",72607,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2002","2002",72393,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2003","2003",74483,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2004","2004",75753,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2005","2005",78182,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2006","2006",82626,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2007","2007",94661,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2008","2008",99910,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2009","2009",105176,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2010","2010",114772,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2011","2011",124982,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2012","2012",134906,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2013","2013",139544,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2014","2014",142432,,
"TUR","Turkey","TNBN","Total number of nurses","TOT","Total","2015","2015",152803,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2008","2008",147417,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2009","2009",153838,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2010","2010",155310,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2011","2011",158439,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2012","2012",160378,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2013","2013",169015,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2014","2014",172721,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2015","2015",166324,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2016","2016",168801,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2017","2017",171527,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2018","2018",174845,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2019","2019",191326,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2002","2002",589393,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2003","2003",611086,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2004","2004",625539,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2005","2005",636655,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2006","2006",644152,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2007","2007",637155,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2008","2008",624740,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2009","2009",625815,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2010","2010",629029,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2011","2011",631625,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2012","2012",634672,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2013","2013",638189,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2014","2014",644473,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2015","2015",650743,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2016","2016",650638,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2017","2017",647678,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2018","2018",652651,,
"GBR","United Kingdom","TNBN","Total number of nurses","TOT","Total","2019","2019",660213,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2006","2006",664814,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2007","2007",668989,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2008","2008",683965,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2010","2010",729147,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2011","2011",791602,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2012","2012",834557,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2013","2013",859470,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2014","2014",851970,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2015","2015",856446,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2016","2016",862965,,
"USA","United States","TNBN","Total number of nurses","TOT","Total","2012","2012",4104854,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2014","2014",36013,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2015","2015",38580,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2016","2016",41722,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2017","2017",45088,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2018","2018",48531,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2019","2019",51558,,
"CHL","Chile","TNBN","Total number of nurses","TOT","Total","2014","2014",34674,,
"CHL","Chile","TNBN","Total number of nurses","TOT","Total","2015","2015",37129,,
"CHL","Chile","TNBN","Total number of nurses","TOT","Total","2016","2016",44406,,
"CHL","Chile","TNBN","Total number of nurses","TOT","Total","2017","2017",50062,,
"CHL","Chile","TNBN","Total number of nurses","TOT","Total","2018","2018",55508,,
"CHL","Chile","TNBN","Total number of nurses","TOT","Total","2019","2019",55049,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2002","2002",2259,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2003","2003",3987,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2004","2004",4817,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2005","2005",5199,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2006","2006",5336,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2007","2007",5419,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2008","2008",5525,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2009","2009",5634,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2010","2010",5764,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2011","2011",5884,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2012","2012",6018,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2013","2013",6159,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2014","2014",6293,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2015","2015",6420,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2016","2016",6535,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2017","2017",6662,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2018","2018",6787,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2019","2019",6880,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2002","2002",4409,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2003","2003",7663,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2004","2004",9414,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2005","2005",9990,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2006","2006",10264,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2007","2007",10541,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2008","2008",10777,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2009","2009",11027,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2010","2010",11268,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2011","2011",11543,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2012","2012",11856,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2013","2013",12208,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2014","2014",12521,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2015","2015",12846,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2016","2016",13171,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2017","2017",13509,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2018","2018",13786,,
"EST","Estonia","TNBN","Total number of nurses","TOT","Total","2019","2019",14102,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2000","2000",22725,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2001","2001",23272,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2002","2002",23758,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2003","2003",24180,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2004","2004",24387,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2005","2005",24512,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2006","2006",24675,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2007","2007",24850,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2008","2008",25020,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2009","2009",25474,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2010","2010",25853,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2011","2011",26337,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2012","2012",26709,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2013","2013",26968,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2014","2014",27230,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2015","2015",27623,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2016","2016",28086,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2017","2017",28677,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2018","2018",29586,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2019","2019",30482,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2000","2000",41275,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2001","2001",42391,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2002","2002",43757,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2003","2003",44464,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2004","2004",45049,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2005","2005",45684,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2006","2006",46188,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2007","2007",46691,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2008","2008",47096,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2009","2009",47542,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2010","2010",47816,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2011","2011",48119,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2012","2012",48531,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2013","2013",48858,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2014","2014",49747,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2015","2015",50486,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2016","2016",51512,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2017","2017",52967,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2018","2018",54402,,
"ISR","Israel","TNBN","Total number of nurses","TOT","Total","2019","2019",56268,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2010","2010",4979,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2011","2011",5121,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2012","2012",5228,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2013","2013",5416,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2014","2014",5712,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2015","2015",5830,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2016","2016",6012,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2017","2017",6311,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2018","2018",6409,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2019","2019",6514,,
"SVN","Slovenia","TNBN","Total number of nurses","TOT","Total","2010","2010",4333,,
"SVN","Slovenia","TNBN","Total number of nurses","TOT","Total","2011","2011",4490,,
"SVN","Slovenia","TNBN","Total number of nurses","TOT","Total","2012","2012",4551,,
"SVN","Slovenia","TNBN","Total number of nurses","TOT","Total","2013","2013",4797,,
"SVN","Slovenia","TNBN","Total number of nurses","TOT","Total","2014","2014",5022,,
"SVN","Slovenia","TNBN","Total number of nurses","TOT","Total","2015","2015",5346,,
"SVN","Slovenia","TNBN","Total number of nurses","TOT","Total","2017","2017",6731,,
"SVN","Slovenia","TNBN","Total number of nurses","TOT","Total","2018","2018",7231,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2000","2000",320733,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2001","2001",326917,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2002","2002",333050,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2003","2003",340706,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2004","2004",349341,,
